year,geography_name,population,source_url,source_note
mid-2022,North East,2683000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands)"
mid-2022,North West,7516000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands)"
mid-2022,Yorkshire and The Humber,5541000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands)"
mid-2022,East Midlands,4935000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands)"
mid-2022,West Midlands,6022000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands)"
mid-2022,East of England,6398000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands; East mapped to East of England)"
mid-2022,London,8866000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands)"
mid-2022,South East,9380000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands)"
mid-2022,South West,5765000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands)"
mid-2022,Wales,3132000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands)"
mid-2022,Scotland,5437000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands)"
mid-2022,Northern Ireland,1911000,https://www.gov.uk/government/publications/country-and-regional-analysis-2023/country-and-regional-analysis-november-2023,"HM Treasury CRA 2023 Annex: Population numbers by country and region (thousands)"
